fingerprint,model,feature_count,accuracy,f1,precision,recall,roc_auc,timestamp,random_seed
topological,SVM_linear,2048,0.6914285714285714,0.7652173913043478,0.8073394495412844,0.7272727272727273,0.7613253749617387,2025-06-08T18:17:20.536146,42
topological,LogisticRegression,2048,0.72,0.7860262008733625,0.8333333333333334,0.743801652892562,0.7797673706764617,2025-06-08T18:17:20.831485,42
topological,MLP,2048,0.7714285714285715,0.8333333333333334,0.8403361344537815,0.8264462809917356,0.8264462809917357,2025-06-08T18:17:22.664764,42
topological,NaiveBayes,2048,0.6971428571428572,0.7665198237885462,0.8207547169811321,0.71900826446281,0.7613253749617386,2025-06-08T18:17:22.723764,42
topological,KNN,2048,0.7828571428571428,0.8442622950819672,0.8373983739837398,0.8512396694214877,0.8413682277318641,2025-06-08T18:17:22.832283,42
topological,DecisionTree,2048,0.7657142857142857,0.8270042194092827,0.8448275862068966,0.8099173553719008,0.7437251300887665,2025-06-08T18:17:23.075801,42
rdkit_fp,RandomForest,2048,0.7885714285714286,0.846473029045643,0.85,0.8429752066115702,0.8592745638200183,2025-06-08T18:17:23.323019,42
rdkit_fp,GradientBoosting,2048,0.7714285714285715,0.8333333333333334,0.8403361344537815,0.8264462809917356,0.8539944903581268,2025-06-08T18:17:33.977681,42
rdkit_fp,AdaBoost,2048,0.6914285714285714,0.7692307692307692,0.7964601769911505,0.743801652892562,0.7685185185185185,2025-06-08T18:17:36.932407,42
rdkit_fp,XGBoost,2048,0.7885714285714286,0.8425531914893618,0.868421052631579,0.8181818181818182,0.8656259565350476,2025-06-08T18:17:37.255809,42
rdkit_fp,LightGBM,2048,0.7942857142857143,0.853658536585366,0.84,0.8677685950413223,0.8601163146617693,2025-06-08T18:17:37.566812,42
rdkit_fp,SVM_linear,2048,0.6971428571428572,0.7725321888412017,0.8035714285714286,0.743801652892562,0.7618610345883073,2025-06-08T18:17:38.768978,42
rdkit_fp,LogisticRegression,2048,0.7257142857142858,0.793103448275862,0.8288288288288288,0.7603305785123967,0.7947658402203857,2025-06-08T18:17:39.055891,42
rdkit_fp,MLP,2048,0.7885714285714286,0.8451882845188284,0.8559322033898306,0.8347107438016529,0.8256810529537802,2025-06-08T18:17:40.890237,42
rdkit_fp,NaiveBayes,2048,0.7085714285714285,0.7901234567901234,0.7868852459016393,0.7933884297520661,0.7268135904499541,2025-06-08T18:17:40.944447,42
rdkit_fp,KNN,2048,0.7942857142857143,0.8512396694214878,0.8512396694214877,0.8512396694214877,0.870752984389348,2025-06-08T18:17:41.056446,42
rdkit_fp,DecisionTree,2048,0.68,0.7723577235772359,0.76,0.7851239669421488,0.6396541169268442,2025-06-08T18:17:41.296955,42
morgan_features,RandomForest,2048,0.7885714285714286,0.8560311284046692,0.8088235294117647,0.9090909090909091,0.8673094582185491,2025-06-08T18:17:41.521438,42
morgan_features,GradientBoosting,2048,0.7942857142857143,0.8499999999999999,0.8571428571428571,0.8429752066115702,0.8685338230792775,2025-06-08T18:17:46.952793,42
morgan_features,AdaBoost,2048,0.8,0.8523206751054853,0.8706896551724138,0.8347107438016529,0.8566727884909703,2025-06-08T18:17:48.946599,42
morgan_features,XGBoost,2048,0.7714285714285715,0.8319327731092436,0.8461538461538461,0.8181818181818182,0.8613406795224977,2025-06-08T18:17:49.175627,42
morgan_features,LightGBM,2048,0.7771428571428571,0.8326180257510729,0.8660714285714286,0.8016528925619835,0.8578971533516988,2025-06-08T18:17:49.278627,42
morgan_features,SVM_linear,2048,0.72,0.7932489451476793,0.8103448275862069,0.7768595041322314,0.7692072237526784,2025-06-08T18:17:50.400832,42
morgan_features,LogisticRegression,2048,0.76,0.825,0.8319327731092437,0.8181818181818182,0.8339455157636975,2025-06-08T18:17:50.575960,42
morgan_features,MLP,2048,0.8,0.8535564853556484,0.864406779661017,0.8429752066115702,0.8529231711049893,2025-06-08T18:17:53.221419,42
morgan_features,NaiveBayes,2048,0.6285714285714286,0.6889952153110048,0.8181818181818182,0.5950413223140496,0.7046985001530457,2025-06-08T18:17:53.272419,42
morgan_features,KNN,2048,0.7657142857142857,0.8404669260700389,0.7941176470588235,0.8925619834710744,0.8318794000612183,2025-06-08T18:17:53.379419,42
morgan_features,DecisionTree,2048,0.76,0.8108108108108107,0.8910891089108911,0.743801652892562,0.8071625344352616,2025-06-08T18:17:53.499422,42
