fingerprint,model,feature_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_std,f1_min,f1_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max
maccs,SVM_linear,167,0.7361493725130089,0.0,0.7361493725130089,0.7361493725130089,0.7485714285714286,0.0,0.7485714285714286,0.7485714285714286,0.8166666666666667,0.0,0.8166666666666667,0.8166666666666667,0.8235294117647058,0.0,0.8235294117647058,0.8235294117647058,0.8099173553719008,0.0,0.8099173553719008,0.8099173553719008
maccs,LogisticRegression,167,0.7381389654116927,0.0,0.7381389654116927,0.7381389654116927,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.7916666666666666,0.0,0.7916666666666666,0.7916666666666666,0.7983193277310925,0.0,0.7983193277310925,0.7983193277310925,0.7851239669421488,0.0,0.7851239669421488,0.7851239669421488
maccs,MLP,167,0.8065503520048974,0.0,0.8065503520048974,0.8065503520048974,0.72,0.0,0.72,0.72,0.794979079497908,0.0,0.794979079497908,0.794979079497908,0.8050847457627118,0.0,0.8050847457627118,0.8050847457627118,0.7851239669421488,0.0,0.7851239669421488,0.7851239669421488
maccs,NaiveBayes,167,0.6320783593510866,0.0,0.6320783593510866,0.6320783593510866,0.68,0.0,0.68,0.68,0.8095238095238095,0.0,0.8095238095238095,0.8095238095238095,0.6878612716763006,0.0,0.6878612716763006,0.6878612716763006,0.9834710743801653,0.0,0.9834710743801653,0.9834710743801653
maccs,KNN,167,0.7865779002142639,0.0,0.7865779002142639,0.7865779002142639,0.7485714285714286,0.0,0.7485714285714286,0.7485714285714286,0.808695652173913,0.0,0.808695652173913,0.808695652173913,0.8532110091743119,0.0,0.8532110091743119,0.8532110091743119,0.768595041322314,0.0,0.768595041322314,0.768595041322314
maccs,DecisionTree,167,0.7621671258034896,0.0,0.7621671258034896,0.7621671258034896,0.6742857142857143,0.0,0.6742857142857143,0.6742857142857143,0.7348837209302326,0.0,0.7348837209302326,0.7348837209302326,0.8404255319148937,0.0,0.8404255319148937,0.8404255319148937,0.6528925619834711,0.0,0.6528925619834711,0.6528925619834711
descriptors,RandomForest,40,0.8177226813590449,0.0,0.8177226813590449,0.8177226813590449,0.76,0.0,0.76,0.76,0.8306451612903227,0.0,0.8306451612903227,0.8306451612903227,0.8110236220472441,0.0,0.8110236220472441,0.8110236220472441,0.8512396694214877,0.0,0.8512396694214877,0.8512396694214877
descriptors,GradientBoosting,40,0.8344046525864708,0.0,0.8344046525864708,0.8344046525864708,0.7657142857142857,0.0,0.7657142857142857,0.7657142857142857,0.8298755186721992,0.0,0.8298755186721992,0.8298755186721992,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8264462809917356,0.0,0.8264462809917356,0.8264462809917356
descriptors,AdaBoost,40,0.7539026629935721,0.0,0.7539026629935721,0.7539026629935721,0.7085714285714285,0.0,0.7085714285714285,0.7085714285714285,0.7866108786610878,0.0,0.7866108786610878,0.7866108786610878,0.7966101694915254,0.0,0.7966101694915254,0.7966101694915254,0.7768595041322314,0.0,0.7768595041322314,0.7768595041322314
descriptors,XGBoost,40,0.8304254667891031,0.0,0.8304254667891031,0.8304254667891031,0.76,0.0,0.76,0.76,0.8278688524590164,0.0,0.8278688524590164,0.8278688524590164,0.8211382113821138,0.0,0.8211382113821138,0.8211382113821138,0.8347107438016529,0.0,0.8347107438016529,0.8347107438016529
descriptors,LightGBM,40,0.8229262320171411,0.0,0.8229262320171411,0.8229262320171411,0.7428571428571429,0.0,0.7428571428571429,0.7428571428571429,0.8101265822784811,0.0,0.8101265822784811,0.8101265822784811,0.8275862068965517,0.0,0.8275862068965517,0.8275862068965517,0.7933884297520661,0.0,0.7933884297520661,0.7933884297520661
descriptors,SVM_linear,40,0.6893174165901439,0.0,0.6893174165901439,0.6893174165901439,0.7428571428571429,0.0,0.7428571428571429,0.7428571428571429,0.8148148148148149,0.0,0.8148148148148149,0.8148148148148149,0.8114754098360656,0.0,0.8114754098360656,0.8114754098360656,0.8181818181818182,0.0,0.8181818181818182,0.8181818181818182
descriptors,LogisticRegression,40,0.7086011631466177,0.0,0.7086011631466177,0.7086011631466177,0.7028571428571428,0.0,0.7028571428571428,0.7028571428571428,0.7868852459016394,0.0,0.7868852459016394,0.7868852459016394,0.7804878048780488,0.0,0.7804878048780488,0.7804878048780488,0.7933884297520661,0.0,0.7933884297520661,0.7933884297520661
descriptors,MLP,40,0.8022650749923478,0.0,0.8022650749923478,0.8022650749923478,0.7085714285714285,0.0,0.7085714285714285,0.7085714285714285,0.7811158798283263,0.0,0.7811158798283263,0.7811158798283263,0.8125,0.0,0.8125,0.8125,0.7520661157024794,0.0,0.7520661157024794,0.7520661157024794
descriptors,NaiveBayes,40,0.5869299051117235,0.0,0.5869299051117235,0.5869299051117235,0.64,0.0,0.64,0.64,0.7272727272727274,0.0,0.7272727272727274,0.7272727272727274,0.7636363636363637,0.0,0.7636363636363637,0.7636363636363637,0.6942148760330579,0.0,0.6942148760330579,0.6942148760330579
descriptors,KNN,40,0.7715029078665443,0.0,0.7715029078665443,0.7715029078665443,0.7485714285714286,0.0,0.7485714285714286,0.7485714285714286,0.824,0.0,0.824,0.824,0.7984496124031008,0.0,0.7984496124031008,0.7984496124031008,0.8512396694214877,0.0,0.8512396694214877,0.8512396694214877
descriptors,DecisionTree,40,0.6932966023875116,0.0,0.6932966023875116,0.6932966023875116,0.6628571428571428,0.0,0.6628571428571428,0.6628571428571428,0.737777777777778,0.0,0.737777777777778,0.737777777777778,0.7980769230769231,0.0,0.7980769230769231,0.7980769230769231,0.6859504132231405,0.0,0.6859504132231405,0.6859504132231405
topological,RandomForest,2048,0.8674625038261402,0.0,0.8674625038261402,0.8674625038261402,0.8,0.0,0.8,0.8,0.8559670781893004,0.0,0.8559670781893004,0.8559670781893004,0.8524590163934426,0.0,0.8524590163934426,0.8524590163934426,0.859504132231405,0.0,0.859504132231405,0.859504132231405
topological,GradientBoosting,2048,0.8752678298132844,0.0,0.8752678298132844,0.8752678298132844,0.7942857142857143,0.0,0.7942857142857143,0.7942857142857143,0.8474576271186441,0.0,0.8474576271186441,0.8474576271186441,0.8695652173913043,0.0,0.8695652173913043,0.8695652173913043,0.8264462809917356,0.0,0.8264462809917356,0.8264462809917356
topological,AdaBoost,2048,0.8181818181818182,0.0,0.8181818181818182,0.8181818181818182,0.76,0.0,0.76,0.76,0.8278688524590164,0.0,0.8278688524590164,0.8278688524590164,0.8211382113821138,0.0,0.8211382113821138,0.8211382113821138,0.8347107438016529,0.0,0.8347107438016529,0.8347107438016529
topological,XGBoost,2048,0.8388429752066116,0.0,0.8388429752066116,0.8388429752066116,0.7714285714285715,0.0,0.7714285714285715,0.7714285714285715,0.8347107438016529,0.0,0.8347107438016529,0.8347107438016529,0.8347107438016529,0.0,0.8347107438016529,0.8347107438016529,0.8347107438016529,0.0,0.8347107438016529,0.8347107438016529
topological,LightGBM,2048,0.8463422099785736,0.0,0.8463422099785736,0.8463422099785736,0.7771428571428571,0.0,0.7771428571428571,0.7771428571428571,0.8381742738589212,0.0,0.8381742738589212,0.8381742738589212,0.8416666666666667,0.0,0.8416666666666667,0.8416666666666667,0.8347107438016529,0.0,0.8347107438016529,0.8347107438016529
topological,SVM_linear,2048,0.7618610345883072,0.0,0.7618610345883072,0.7618610345883072,0.7085714285714285,0.0,0.7085714285714285,0.7085714285714285,0.7792207792207793,0.0,0.7792207792207793,0.7792207792207793,0.8181818181818182,0.0,0.8181818181818182,0.8181818181818182,0.743801652892562,0.0,0.743801652892562,0.743801652892562
topological,LogisticRegression,2048,0.7716559534741354,0.0,0.7716559534741354,0.7716559534741354,0.7371428571428571,0.0,0.7371428571428571,0.7371428571428571,0.8034188034188033,0.0,0.8034188034188033,0.8034188034188033,0.831858407079646,0.0,0.831858407079646,0.831858407079646,0.7768595041322314,0.0,0.7768595041322314,0.7768595041322314
topological,MLP,2048,0.8334863789409244,0.0,0.8334863789409244,0.8334863789409244,0.76,0.0,0.76,0.76,0.8235294117647057,0.0,0.8235294117647057,0.8235294117647057,0.8376068376068376,0.0,0.8376068376068376,0.8376068376068376,0.8099173553719008,0.0,0.8099173553719008,0.8099173553719008
topological,NaiveBayes,2048,0.757499234771962,0.0,0.757499234771962,0.757499234771962,0.7028571428571428,0.0,0.7028571428571428,0.7028571428571428,0.7699115044247787,0.0,0.7699115044247787,0.7699115044247787,0.8285714285714286,0.0,0.8285714285714286,0.8285714285714286,0.71900826446281,0.0,0.71900826446281,0.71900826446281
topological,KNN,2048,0.8299663299663299,0.0,0.8299663299663299,0.8299663299663299,0.7942857142857143,0.0,0.7942857142857143,0.7942857142857143,0.8524590163934428,0.0,0.8524590163934428,0.8524590163934428,0.8455284552845529,0.0,0.8455284552845529,0.8455284552845529,0.859504132231405,0.0,0.859504132231405,0.859504132231405
topological,DecisionTree,2048,0.7204621977349251,0.0,0.7204621977349251,0.7204621977349251,0.7485714285714286,0.0,0.7485714285714286,0.7485714285714286,0.8151260504201682,0.0,0.8151260504201682,0.8151260504201682,0.8290598290598291,0.0,0.8290598290598291,0.8290598290598291,0.8016528925619835,0.0,0.8016528925619835,0.8016528925619835
rdkit_fp,RandomForest,2048,0.8304254667891031,0.0,0.8304254667891031,0.8304254667891031,0.7828571428571428,0.0,0.7828571428571428,0.7828571428571428,0.8416666666666667,0.0,0.8416666666666667,0.8416666666666667,0.8487394957983193,0.0,0.8487394957983193,0.8487394957983193,0.8347107438016529,0.0,0.8347107438016529,0.8347107438016529
rdkit_fp,GradientBoosting,2048,0.8414447505356597,0.0,0.8414447505356597,0.8414447505356597,0.7885714285714286,0.0,0.7885714285714286,0.7885714285714286,0.8412017167381973,0.0,0.8412017167381973,0.8412017167381973,0.875,0.0,0.875,0.875,0.8099173553719008,0.0,0.8099173553719008,0.8099173553719008
rdkit_fp,AdaBoost,2048,0.7514539332721152,0.0,0.7514539332721152,0.7514539332721152,0.7257142857142858,0.0,0.7257142857142858,0.7257142857142858,0.8048780487804879,0.0,0.8048780487804879,0.8048780487804879,0.792,0.0,0.792,0.792,0.8181818181818182,0.0,0.8181818181818182,0.8181818181818182
rdkit_fp,XGBoost,2048,0.844964799510254,0.0,0.844964799510254,0.844964799510254,0.7771428571428571,0.0,0.7771428571428571,0.7771428571428571,0.8395061728395061,0.0,0.8395061728395061,0.8395061728395061,0.8360655737704918,0.0,0.8360655737704918,0.8360655737704918,0.8429752066115702,0.0,0.8429752066115702,0.8429752066115702
rdkit_fp,LightGBM,2048,0.8429752066115702,0.0,0.8429752066115702,0.8429752066115702,0.7714285714285715,0.0,0.7714285714285715,0.7714285714285715,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8403361344537815,0.0,0.8403361344537815,0.8403361344537815,0.8264462809917356,0.0,0.8264462809917356,0.8264462809917356
rdkit_fp,SVM_linear,2048,0.7525252525252526,0.0,0.7525252525252526,0.7525252525252526,0.6971428571428572,0.0,0.6971428571428572,0.6971428571428572,0.7725321888412017,0.0,0.7725321888412017,0.7725321888412017,0.8035714285714286,0.0,0.8035714285714286,0.8035714285714286,0.743801652892562,0.0,0.743801652892562,0.743801652892562
rdkit_fp,LogisticRegression,2048,0.7849709213345577,0.0,0.7849709213345577,0.7849709213345577,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.7844827586206897,0.0,0.7844827586206897,0.7844827586206897,0.8198198198198198,0.0,0.8198198198198198,0.8198198198198198,0.7520661157024794,0.0,0.7520661157024794,0.7520661157024794
rdkit_fp,MLP,2048,0.8336394245485156,0.0,0.8336394245485156,0.8336394245485156,0.76,0.0,0.76,0.76,0.825,0.0,0.825,0.825,0.8319327731092437,0.0,0.8319327731092437,0.8319327731092437,0.8181818181818182,0.0,0.8181818181818182,0.8181818181818182
rdkit_fp,NaiveBayes,2048,0.7235996326905418,0.0,0.7235996326905418,0.7235996326905418,0.7085714285714285,0.0,0.7085714285714285,0.7085714285714285,0.7935222672064778,0.0,0.7935222672064778,0.7935222672064778,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.8099173553719008,0.0,0.8099173553719008,0.8099173553719008
rdkit_fp,KNN,2048,0.842516069788797,0.0,0.842516069788797,0.842516069788797,0.7942857142857143,0.0,0.7942857142857143,0.7942857142857143,0.8512396694214878,0.0,0.8512396694214878,0.8512396694214878,0.8512396694214877,0.0,0.8512396694214877,0.8512396694214877,0.8512396694214877,0.0,0.8512396694214877,0.8512396694214877
rdkit_fp,DecisionTree,2048,0.5562442607897153,0.0,0.5562442607897153,0.5562442607897153,0.6857142857142857,0.0,0.6857142857142857,0.6857142857142857,0.7755102040816327,0.0,0.7755102040816327,0.7755102040816327,0.7661290322580645,0.0,0.7661290322580645,0.7661290322580645,0.7851239669421488,0.0,0.7851239669421488,0.7851239669421488
morgan_features,RandomForest,2048,0.864248546066728,0.0,0.864248546066728,0.864248546066728,0.7657142857142857,0.0,0.7657142857142857,0.7657142857142857,0.844106463878327,0.0,0.844106463878327,0.844106463878327,0.7816901408450704,0.0,0.7816901408450704,0.7816901408450704,0.9173553719008265,0.0,0.9173553719008265,0.9173553719008265
morgan_features,GradientBoosting,2048,0.8659320477502296,0.0,0.8659320477502296,0.8659320477502296,0.7885714285714286,0.0,0.7885714285714286,0.7885714285714286,0.8537549407114625,0.0,0.8537549407114625,0.8537549407114625,0.8181818181818182,0.0,0.8181818181818182,0.8181818181818182,0.8925619834710744,0.0,0.8925619834710744,0.8925619834710744
