SMILES,pchembl_value
CN1CCN(c2ccc(C(=O)Nc3cc4cc(-c5cnn6c5CN(CCF)CC6)ccc4cn3)cn2)CC1,9
Cn1cncc1-c1ccc2cnc(NC(=O)c3ccc(F)cc3)cc2c1,9
Cn1cncc1-c1ccc2cnc(NC(=O)c3ccnc(N4CC(N)C4)c3)cc2c1,9
Cn1cncc1-c1ccc2cnc(NC(=O)c3ccnc(N4CCN(C5CC5)CC4)c3)cc2c1,9
CN1Cc2ccc(C(=O)Nc3cc4cc(-c5cncn5C)ccc4cn3)cc2C1,9
Cc1ncc(C(=O)Nc2cc3cc(-c4cnc(C)n4C)ccc3cn2)s1,9
CN1CCN(c2cc(C(=O)Nc3cc4cc(-c5cncs5)ccc4cn3)ccn2)CC1,9
O=C(Nc1cc2cc(-c3cncs3)ccc2cn1)c1ccc2c(c1)CNCC2,9
CC(C)Nc1cncc(-c2ccc3cnc(NC(=O)C4CCN(CCF)CC4)cc3c2)n1,9
CC(C)Nc1cncc(-c2ccc3cnc(NC(=O)c4cccc(C5CCN(C)CC5)c4)cc3c2)n1,9
O=C(Nc1cc2cc(-c3cncc(NC4CCNCC4)n3)ccc2cn1)C1CC(F)(F)C1,9
O=C(Nc1cc2cc(-c3cncc(NC4CCNCC4)n3)ccc2cn1)C1CCCCC1,9
O=C(Nc1cc2cc(-c3cncc(NCC4(F)CNC4)n3)ccc2cn1)C1CC1,9
O=C(Nc1cc2cc(-c3cncc(N[C@H]4CCNC[C@@H]4F)n3)ccc2cn1)C1CC1,9
Cc1ncc(C(=O)Nc2cc3nc(-c4cnc(C)n4C)ccc3cn2)s1,9
CN1CC=C(c2cc(C(=O)Nc3cc4cc(-c5cncc(NC(C)(C)C)n5)cnc4cn3)ccn2)CC1,9
CC(C)n1cc(C(=O)Nc2cc3cc(-c4cncc(NC5CCN(C)CC5)n4)ncc3cn2)cn1,9
CN1CCN(c2cc(Nc3ncc4c(-c5ccc6ncccc6c5)c[nH]c4n3)ccn2)CC1,9
Nc1cc(-c2ccc3ncsc3c2)cc(N)n1,9
Cc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1CCOc1ccccc1,9
Cc1oc2ccc(-c3cc(N)nc(N)c3)cc2c1C,9
O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2ncoc2c1,9
CCOC[C@@H](CC(C)C)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,9
O=C1NC(N[C@H]2C3CC4CC2C[C@](O)(C4)C3)=N/C1=C\c1ccc2ncsc2c1,9
O=C1NC(NC23CC4CC(CC2C4)C3)=N/C1=C\c1ccc2ncsc2c1,9
O=C1NC(NC23CC4(F)CC(F)(CC(F)(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,9
CC(=O)NC12CC3CC(C1)CC(NC1=N/C(=C\c4ccc5ncsc5c4)C(=O)N1)(C3)C2,9
O=C1NC(NC23CC4CC(CC(NC(=O)C5CC5)(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,9
CS(=O)(=O)NC12CC3CC(CC(NC4=N/C(=C\c5ccc6ncsc6c5)C(=O)N4)(C3)C1)C2,9
COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4)c3c2s1,8.95
CN1Cc2nn(C)c(C#N)c2-c2cnc3[nH]c(F)c(c3c2)-c2cn(nc2C(F)(F)F)CCCC1=O,8.93
COC[C@@H](CC(C)C)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1C,8.92
COC1=CC2C(=O)NC3=Cc4ccc(OC)cc4C(=C1OC)C32,8.86
O=C1CCCc2[nH]c3c(Cl)cccc3c21,8.8
COC(=N)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2s1,8.78
COC(=N)c1nc2ccc3ncnc(Nc4ccccc4)c3c2s1,8.74
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,8.7
Cc1n[nH]c2ccc(-c3cncc(O[C@H]4CCNCC4(F)F)n3)cc12,8.7
O=C(Nc1cccnc1)c1n[nH]c2ccc(-c3cncc(NC(=O)N4CCOCC4)c3)cc12,8.7
O=C(Nc1cccnc1)c1n[nH]c2ccc(-c3cncc(CN4CC(CO)(CO)C4)c3)cc12,8.7
CN(C)Cc1cncc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCC5)c4)cc23)c1,8.7
COc1ccc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCC5)c4)cc23)cn1,8.7
COc1ccc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCC(F)(F)C5)c4)cc23)cn1,8.7
O=C(NCc1cc(F)cc(F)c1)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,8.7
Cc1cncc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCCC5)c4)cc23)c1,8.7
O=C(Nc1ccc(N2CC(CO)(CO)C2)nc1)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,8.7
CC1CCN(Cc2cncc(-c3ccc4[nH]nc(C(=O)Nc5cccnc5)c4c3)c2)CC1,8.7
O=C(Nc1cnccn1)c1n[nH]c2ccc(-c3cncc(CN4CCCCCC4)c3)cc12,8.7
O=C(Nc1cccnc1)c1n[nH]c2ccc(-c3cncc(CN4CCS(=O)(=O)CC4)c3)cc12,8.7
CN1CCC(Nc2ccc(NC(=O)c3n[nH]c4cc(F)c(-c5cnn(C)c5)cc34)cn2)CC1,8.7
Cn1cc(-c2cc3c(C(=O)Nc4ccc5c(c4)CNC5)n[nH]c3cc2F)cn1,8.7
CC(C)CC(=O)Nc1cncc(-c2cnc3[nH]nc(-c4nc5c(-c6cccc(F)c6)cncc5[nH]4)c3c2)c1,8.7
CN1CCN(c2cncc3[nH]c(-c4n[nH]c5ccc(-c6cccnc6)cc45)nc23)CC1,8.7
CN1CCN(c2cncc3[nH]c(-c4n[nH]c5ccc(-c6cncc(N7CCOCC7)c6)cc45)nc23)CC1,8.7
c1cncc(-c2ccc3[nH]nc(-c4nc5c(N6CCOCC6)cncc5[nH]4)c3c2)c1,8.7
Cc1cn(-c2cncc3[nH]c(-c4n[nH]c5ccc(-c6cncc(NC(=O)C(C)(C)C)c6)nc45)nc23)cn1,8.7
CCNCc1cncc(-c2cc3c(-c4nc5c(-c6ccsc6)nccc5[nH]4)n[nH]c3cn2)c1,8.7
Cc1ccc(-c2nccc3[nH]c(-c4n[nH]c5ccc(-c6cncc(N)c6)nc45)nc23)s1,8.7
Cc1ccc(-c2cncc3[nH]c(-c4n[nH]c5ccc(-c6cncc(N)c6)nc45)nc23)s1,8.7
CN1CCC(Oc2ccc3[nH]c(-c4n[nH]c5ccc(-c6cnn(C)c6)cc45)nc3c2)CC1,8.7
Nc1cncc(-c2ccc3[nH]nc(-c4cc5c(-c6cccnc6)nccc5[nH]4)c3c2)c1,8.7
CCNCc1cncc(-c2cc3c(-c4cc5c(-c6cccnc6)cncc5[nH]4)n[nH]c3cn2)c1,8.7
c1cncc(-c2cc3c(-c4cc5cnccc5[nH]4)n[nH]c3cn2)c1,8.7
Nc1cncc(-c2ccc3[nH]nc(-c4cc5cccnc5[nH]4)c3c2)c1,8.7
CCC(=O)Nc1cncc(-c2cnc3[nH]nc(-c4cc5cnccc5[nH]4)c3c2)c1,8.7
CCCCC(=O)Nc1cncc(-c2cc3c(-c4cc5cnccc5[nH]4)n[nH]c3cn2)c1,8.7
CC(C)(C)CC(=O)Nc1cncc(-c2cnc3[nH]nc(-c4cc5cnccc5[nH]4)c3c2)c1,8.7
